Data;Ponto;Parâmetro;Resultado;Unidade
05/09/2026;P01;Atrazina;0,7;µg/L
05/09/2026;P01;Benzeno;<0,002;mg/L
05/09/2026;P01;Benzidina;<0,0005;µg/L
05/09/2026;P01;Benzo(a)antraceno;0,012;µg/L
05/09/2026;P01;Benzo(a)pireno;0,018;µg/L
05/09/2026;P01;Benzo(b)fluoranteno;0,016;µg/L
05/09/2026;P01;Benzo(k)fluoranteno;0,011;µg/L
05/09/2026;P01;Carbaril;<0,01;µg/L
05/09/2026;P01;Clordano (cis + trans);<0,02;µg/L
05/09/2026;P01;2-Clorofenol;<0,05;µg/L
05/09/2026;P01;Criseno;0,014;µg/L
05/09/2026;P01;2,4-D;1,2;µg/L
05/09/2026;P01;Demeton (Demeton-O + Demeton-S);<0,05;µg/L
05/09/2026;P01;Dibenzo(a,h)antraceno;0,009;µg/L
05/09/2026;P01;1,2-Dicloroetano;<0,005;mg/L
05/09/2026;P01;1,1-Dicloroeteno;<0,001;mg/L
05/09/2026;P01;2,4-Diclorofenol;<0,1;µg/L
05/09/2026;P01;Diclorometano;<0,01;mg/L
05/09/2026;P01;DDT (p,p'-DDT + p,p'-DDE + p,p'-DDD);<0,001;µg/L
05/09/2026;P01;Dodecacloro pentaciclodecano;<0,0005;µg/L
05/09/2026;P01;Endossulfan (alfa + beta + sulfato);<0,02;µg/L
05/09/2026;P01;Endrin;<0,002;µg/L
05/09/2026;P01;Estireno;<0,01;mg/L
05/09/2026;P01;Etilbenzeno;24,0;µg/L
05/09/2026;P01;Fenóis totais;0,002;mg/L C6H5OH
05/09/2026;P01;Glifosato;18;µg/L
05/09/2026;P01;Gution;<0,002;µg/L
05/09/2026;P01;Heptacloro epóxido + Heptacloro;<0,005;µg/L
05/09/2026;P01;Hexaclorobenzeno;<0,002;µg/L
05/09/2026;P01;Indeno(1,2,3-cd)pireno;0,013;µg/L
05/09/2026;P01;Lindano (γ-HCH);<0,01;µg/L
05/09/2026;P01;Malation;<0,05;µg/L
05/09/2026;P01;Metolacloro;2,4;µg/L
05/09/2026;P01;Metoxicloro;<0,01;µg/L
05/09/2026;P01;Paration;<0,02;µg/L
05/09/2026;P01;PCBs - Bifenilas policloradas;<0,0005;µg/L
05/09/2026;P01;Pentaclorofenol;<0,004;mg/L
05/09/2026;P01;Simazina;0,8;µg/L
05/09/2026;P01;Substâncias tensoativas que reagem com azul de metileno;0,18;mg/L LAS
05/09/2026;P01;2,4,5-T;<1,0;µg/L
05/09/2026;P01;Tetracloreto de carbono;<0,001;mg/L
05/09/2026;P01;Tetracloroeteno;<0,005;mg/L
05/09/2026;P01;Tolueno;0,8;µg/L
05/09/2026;P01;Toxafeno;<0,005;µg/L
05/09/2026;P01;2,4,5-TP;<5,0;µg/L
05/09/2026;P01;Tributilestanho;<0,03;µg/L TBT
05/09/2026;P01;Triclorobenzeno (1,2,3-TCB + 1,2,4-TCB);<0,01;mg/L
05/09/2026;P01;Tricloroeteno;<0,01;mg/L
05/09/2026;P01;2,4,6-Triclorofenol;<0,005;mg/L
05/09/2026;P01;Trifluralina;<0,1;µg/L
05/09/2026;P01;Xileno;42;µg/L
