COD_LOCAL;DT_REF;SUBSTANCIA;MEDICAO;DIMENSAO
PAS 15;2023-05-17;Cor verdadeira;2788;mg/L
PAS 03;2023-11-22;Alcalinidade total;10;mg/L
PAS 14;2021-12-03;Cor verdadeira;1591.85;uH
PAS 15;2024-06-26;Cor Verdadeira;1260;mg/L
PAS 15;2021-12-03;Cor verdadeira;1170.5999999999999;uH
PAS 14;2023-05-16;Cor verdadeira;918;mg/L
PAS 35;2024-05-21;Cor Verdadeira;860;mg/L
PAS 13;2024-05-21;Cor Verdadeira;694;mg/L
PAS 14;2021-07-06;Cor verdadeira;553.91;uH
PAS 28;2023-11-27;Cor verdadeira;495;mg/L
PAS 13;2021-12-03;Cor verdadeira;467.87;uH
PAS 26;2024-06-27;Cor Verdadeira;417;mg/L
PAS 01;2020-12-16;Cromo total;<0.01;mg/L
PAS 01;2021-07-04;Cromo total;<0.01;mg/L
PAS 01;2021-12-04;Cromo total;<0.01;mg/L
PAS 01;2022-05-26;Cromo total;<0.003;mg/L
PAS 01;2022-11-23;Cromo total;<0.003;mg/L
PAS 01;2023-05-18;Cromo total;<0.003;mg/L
PAS 01;2023-11-22;Cromo total;<0.003;mg/L
PAS 01;2024-05-23;Cromo Total;<0.003;mg/L
PAS 01;2024-06-25;Cromo Total;<0.003;mg/L
PAS 01;2024-02-19;Cromo Total;<0.003;mg/L
PAS 01;2024-03-20;Cromo Total;<0.003;mg/L
PAS 01;2024-04-17;Cromo Total;<0.003;mg/L
PAS 01;2024-07-24 13:31:00;Cromo Total;<0.003;mg/L
PAS 16;2024-06-26;DBO 5;26;mg/L
PAS 33;2024-02-22;DBO 5;15;mg/L
PAS 14;2024-02-22;DBO 5;12;mg/L
PAS 15;2024-03-18;DBO 5;11;mg/L
PAS 26;2024-02-20;DBO 5;11;mg/L
PAS 03;2024-02-22;DBO 5;10;mg/L
PAS 34;2024-03-18;DBO 5;9.1999999999999993;mg/L
PAS 30;2024-02-20;DBO 5;8.1;mg/L
PAS 31;2024-02-20;DBO 5;5.4;mg/L
PAS 07;2023-11-28;DBO 5;5;mg/L
PAS 15;2024-06-26;DBO 5;4.5999999999999996;mg/L
PAS 03;2023-05-18;DBO;4;mg/L
PAS 34;2024-04-17;DBO 5;4;mg/L
PAS 01;2020-12-16;DQO;3;mg/L
PAS 01;2021-07-04;DQO;<1;mg/L
PAS 01;2021-12-04;DQO;3;mg/L
PAS 01;2022-05-26;DQO;9.1;mg/L
PAS 01;2022-11-23;DQO;19.3;mg/L
PAS 01;2023-05-18;DQO;7.2;mg/L
PAS 01;2023-11-22;DQO;5.2;mg/L
PAS 01;2024-05-23;DQO;<20;mg/L
PAS 01;2024-06-25;DQO;<20;mg/L
PAS 01;2024-02-19;DQO;<20;mg/L
PAS 01;2024-03-20;DQO;<20;mg/L
PAS 01;2024-04-17;DQO;<20;mg/L
PAS 01;2024-07-24 13:31:00;DQO;<20;
PAS 01;2020-12-16;Dureza;10;mg/L
PAS 01;2021-07-04;Dureza;4;mg/L
PAS 01;2021-12-04;Dureza;12;mg/L
PAS 01;2022-05-26;Dureza;2.5;mg/L
PAS 01;2022-11-23;Dureza;15;mg/L
PAS 01;2023-05-18;Dureza;10;mg/L
PAS 01;2023-11-22;Dureza;20;mg/L
PAS 01;2024-05-23;Dureza Total;2;mg/L
PAS 01;2024-06-25;Dureza Total;<0.5;mg/L
PAS 01;2024-02-19;Dureza Total;<0.5;mg/L
PAS 01;2024-03-20;Dureza Total;<0.5;mg/L
PAS 01;2024-04-17;Dureza Total;<0.5;mg/L
PAS 01;2024-07-24 13:31:00;Dureza Total;<0.5;mg/L
PAS 01;2020-12-16;Fenóis;<0.001;mg/L
PAS 01;2021-07-04;Fenóis;<0.001;mg/L
PAS 01;2021-12-04;Fenóis;<0.001;mg/L
PAS 01;2022-05-26;Fenóis;<0.001;mg/L
PAS 01;2022-11-23;Fenóis;<0.001;mg/L
PAS 01;2023-05-18;Fenóis;<0.001;mg/L
PAS 01;2023-11-22;Fenóis;<0.001;mg/L
PAS 01;2024-05-23;Fenóis Totais;<0.001;mg/L
PAS 01;2024-06-25;Fenóis Totais;<0.001;mg/L
PAS 01;2024-02-19;Fenóis Totais;2.4E-2;mg/L
PAS 01;2024-03-20;Fenóis Totais;<0.001;mg/L
PAS 01;2024-04-17;Fenóis Totais;<0.001;mg/L
PAS 01;2024-07-24 13:31:00;Fenóis Totais;<0.001;mg/L
PAS 01;2020-12-16;Ferro total;0.23;mg/L
PAS 01;2021-07-04;Ferro total;0.23699999999999999;mg/L
PAS 01;2021-12-04;Ferro total;0.57999999999999996;mg/L
PAS 01;2022-05-26;Ferro total;0.7;mg/L
PAS 01;2022-11-23;Ferro total;15.8;mg/L
PAS 01;2023-05-18;Ferro total;0.11;mg/L
PAS 01;2023-11-22;Ferro total;0.66;mg/L
PAS 01;2024-05-23;Ferro Total;0.105;mg/L
PAS 01;2024-06-25;Ferro Total;8.8999999999999996E-2;mg/L
PAS 01;2024-02-19;Ferro Total;9.7000000000000003E-2;mg/L
PAS 01;2024-03-20;Ferro Total;0.71799999999999997;mg/L
PAS 01;2024-04-17;Ferro Total;0.13100000000000001;mg/L
PAS 01;2024-07-24 13:31:00;Ferro Total;6.6000000000000003E-2;mg/L
PAS 01;2020-12-16;Fosfato;0.02;mg/L
PAS 01;2021-07-04;Fosfato;<0.01;mg/L
PAS 01;2021-12-04;Fosfato;0.01;mg/L
PAS 01;2022-05-26;Fosfato;<0.01;mg/L
PAS 01;2022-11-23;Fosfato;<0.01;mg/L
PAS 01;2023-05-18;Fosfato;0.02;mg/L
PAS 01;2023-11-22;Fosfato;<0.01;mg/L
PAS 01;2024-05-23;Fosfato Total;<0.006;mg/L
PAS 01;2024-06-25;Fosfato Total;<0.006;mg/L
PAS 01;2024-02-19;Fosfato Total;<0.006;mg/L
PAS 01;2024-03-20;Fosfato Total;<0.006;mg/L
PAS 01;2024-04-17;Fosfato Total;<0.006;mg/L
PAS 01;2024-07-24 13:31:00;Fosfato Total;2.1000000000000001E-2;mg/L
PAS 06;2022-05-28;Fósforo total;2.37;mg/L
PAS 01;2022-05-26;Fósforo total;1.53;mg/L
PAS 04;2022-11-24;Fósforo total;1.44;mg/L
PAS 26;2023-11-23;Fósforo total;0.7;mg/L
PAS 15;2024-06-26;Fósforo Total;0.498;mg/L
PAS 01;2022-11-23;Fósforo total;0.42;mg/L
PAS 05;2023-11-28;Fósforo total;0.35199999999999998;mg/L
PAS 16;2024-06-26;Fósforo Total;0.29199999999999998;mg/L
PAS 04;2023-11-24;Fósforo total;0.27;mg/L
PAS 26;2024-02-20;Fósforo Total;0.24099999999999999;mg/L
PAS 13;2024-02-22;Fósforo Total;0.216;mg/L
PAS 13;2024-03-21;Fósforo Total;0.16200000000000001;mg/L
PAS 15;2023-11-23;Fósforo total;0.15;mg/L
PAS 01;2020-12-16;Níquel total;<0.01;mg/L
PAS 01;2021-07-04;Níquel total;<0.01;mg/L
PAS 01;2021-12-04;Níquel total;<0.01;mg/L
PAS 01;2022-05-26;Níquel total;<0.007;mg/L
PAS 01;2022-11-23;Níquel total;<0.007;mg/L
PAS 01;2023-05-18;Níquel total;<0.007;mg/L
PAS 01;2023-11-22;Níquel total;<0.007;mg/L
PAS 01;2024-05-23;Níquel Total;<0.003;mg/L
PAS 01;2024-06-25;Níquel Total;<0.003;mg/L
PAS 01;2024-02-19;Níquel Total;<0.003;mg/L
PAS 01;2024-03-20;Níquel Total;<0.003;mg/L
PAS 01;2024-04-17;Níquel Total;<0.003;mg/L
PAS 01;2024-07-24 13:31:00;Níquel Total;<0.003;mg/L
PAS 03;2023-11-22;Alumínio dissolvido;0.12;mg/L
PAS 14;2024-02-22;Nitrato;1.28;mg/L
PAS 03;2023-11-27;Alumínio total;0.40600000000000003;mg/L
PAS 01;2023-11-27;Nitrato;0.89;mg/L
PAS 14;2023-11-29;Nitrato;0.73;mg/L
PAS 13;2024-02-22;Nitrato;0.59;mg/L
PAS 15;2023-11-29;Nitrato;0.59;mg/L
PAS 16;2024-03-18;Nitrato;0.54;mg/L
PAS 13;2023-11-29;Nitrato;0.52;mg/L
PAS 33;2023-11-29;Nitrato;0.51;mg/L
PAS 28;2024-06-25;Nitrato (como N);1.62;mg/L
PAS 15;2024-05-22;Nitrato (como N);1.1100000000000001;mg/L
PAS 15;2024-06-26;Nitrato (como N);0.94;mg/L
PAS 01;2024-05-23;Nitrato (como N);0.79;mg/L
PAS 26;2024-07-26 15:20:00;Nitrato (como N);0.72;mg/L (como  N)
PAS 26;2024-06-27;Nitrato (como N);0.71;mg/L
PAS 35;2024-05-21;Nitrato (como N);0.68;mg/L
PAS 13;2024-05-21;Nitrato (como N);0.65;mg/L
PAS 30;2024-06-26;Nitrato (como N);0.55000000000000004;mg/L
PAS 04;2024-06-26;Nitrato (como N);<0.5;mg/L
PAS 01;2020-12-16;Nitrogênio amoniacal;<0.001;mg/L
PAS 01;2021-07-04;Nitrogênio amoniacal;<0.001;mg/L
PAS 01;2021-12-04;Nitrogênio amoniacal;<0.001;mg/L
PAS 01;2022-05-26;Nitrogênio amoniacal;<0.6;mg/L
PAS 01;2022-11-23;Nitrogênio amoniacal;<0.6;mg/L
PAS 01;2023-05-18;Nitrogênio amoniacal;<0.6;mg/L
PAS 01;2023-11-22;Nitrogênio amoniacal;<0.6;mg/L
PAS 01;2024-05-23;Nitrogênio Amoniacal Total;<0.005;mg/L
PAS 01;2024-06-25;Nitrogênio Amoniacal Total;<0.005;mg/L
PAS 01;2024-02-19;Nitrogênio Amoniacal Total;<0.005;mg/L
PAS 01;2024-03-20;Nitrogênio Amoniacal Total;<0.005;mg/L
PAS 01;2024-04-17;Nitrogênio Amoniacal Total;<0.1;mg/L
PAS 01;2024-07-24 13:31:00;Nitrogênio Amoniacal Total;<0.1;mg/L
PAS 01;2020-12-16;Nitrogênio Kjeldahl;<0.01;mg/L
PAS 01;2021-07-04;Nitrogênio Kjeldahl;<0.1;mg/L
PAS 01;2021-12-04;Nitrogênio Kjeldahl;<0.1;mg/L
PAS 01;2022-05-26;Nitrogênio Kjeldahl;<4.;mg/L
PAS 01;2022-11-23;Nitrogênio Kjeldahl;<4.;mg/L
PAS 01;2023-05-18;Nitrogênio Kjeldahl;<4.;mg/L
PAS 01;2023-11-22;Nitrogênio Kjeldahl;<4.;mg/L
PAS 01;2020-12-16;Nitrogênio total;<0.1;mg/L
PAS 01;2021-07-04;Nitrogênio total;<0.1;mg/L
PAS 01;2021-12-04;Nitrogênio total;<0.1;mg/L
PAS 01;2022-05-26;Nitrogênio total;0.76;mg/L
PAS 01;2022-11-23;Nitrogênio total;0.66;mg/L
PAS 01;2023-05-18;Nitrogênio total;0.56000000000000005;mg/L
PAS 01;2023-11-22;Nitrogênio total;0.76;mg/L
PAS 01;2024-05-23;Nitrogênio Total;<0.15;mg/L
PAS 01;2024-06-25;Nitrogênio Total;<0.5;mg/L
PAS 01;2024-02-19;Nitrogênio Total;<0.5;mg/L
PAS 01;2024-03-20;Nitrogênio Total;<0.5;mg/L
PAS 01;2024-04-17;Nitrogênio Total;<0.15;mg/L
PAS 01;2024-07-24 13:31:00;Nitrogênio Total;<0.15;mg/L
PAS 01;2020-12-16;Óleos e graxas;0;mg/L
PAS 02;2020-12-16;Óleos e graxas;0;mg/L
PAS 03;2020-12-16;Óleos e graxas;0;mg/L
PAS 04;2020-12-16;Óleos e graxas;0;mg/L
PAS 13;2020-12-16;Óleos e graxas;0;mg/L
PAS 14;2020-12-16;Óleos e graxas;0;mg/L
PAS 15;2020-12-16;Óleos e graxas;0;mg/L
PAS 16;2020-12-16;Óleos e graxas;0;mg/L
PAS 05;2020-12-17;Óleos e graxas;0;mg/L
PAS 06;2020-12-17;Óleos e graxas;0;mg/L
PAS 07;2020-12-17;Óleos e graxas;0;mg/L
PAS 03;2021-07-03;Óleos e graxas;0;mg/L
PAS 04;2021-07-03;Óleos e graxas;0;mg/L
PAS 01;2020-12-16;Ortofosfato;0.01;mg/L
PAS 01;2021-07-04;Ortofosfato;<0.01;mg/L
PAS 01;2021-12-04;Ortofosfato;0.01;mg/L
PAS 01;2022-05-26;Ortofosfato;<0.01;mg/L
PAS 01;2022-11-23;Ortofosfato;<0.01;mg/L
PAS 01;2023-05-18;Ortofosfato;0.02;mg/L
PAS 01;2023-11-22;Ortofosfato;<0.01;mg/L
PAS 01;2024-05-23;Ortofosfato;<0.006;mg/L
PAS 01;2024-06-25;Ortofosfato;<0.006;mg/L
PAS 01;2024-02-19;Ortofosfato;<0.006;mg/L
PAS 01;2024-03-20;Ortofosfato;<0.02;mg/L
PAS 01;2024-04-17;Ortofosfato;<0.006;mg/L
PAS 01;2024-07-24 13:31:00;Ortofosfato;<0.006;mg/L
PAS 01;2020-12-16;Oxigênio dissolvido;6;mg/L
PAS 01;2021-07-04;Oxigênio dissolvido;5.8;mg/L
PAS 01;2021-12-04;Oxigênio dissolvido;6.2;mg/L
PAS 01;2022-05-26;Oxigênio dissolvido;7.7;mg/L
PAS 01;2022-11-23;Oxigênio dissolvido;6.77;mg/L
PAS 01;2023-05-18;Oxigênio dissolvido;3.87;mg/L
PAS 01;2023-11-22;Oxigênio dissolvido;2.61;mg/L
PAS 01;2024-05-23;Oxigênio Dissolvido;5.92;mg/L
PAS 01;2024-06-25;Oxigênio Dissolvido;6.82;mg/L
PAS 01;2024-02-19;Oxigênio Dissolvido;5.8;mg/L
PAS 01;2024-03-20;Oxigênio Dissolvido;6.8;mg/L
PAS 01;2024-04-17;Oxigênio Dissolvido;7.51;mg/L
PAS 01;2024-07-24 13:31:00;Oxigênio Dissolvido;6.84;mg/L
PAS 28;2023-11-22;pH;2.9;-
PAS 26;2023-11-23;pH;3.2;-
PAS 01;2023-11-22;pH;3.4;-
PAS 33;2023-11-23;pH;3.4;-
PAS 04;2023-11-24;pH;3.5;-
PAS 30;2023-11-23;pH;3.5;-
PAS 03;2023-11-22;Amônia;<0.6;mg/L
PAS 05;2023-11-21;pH;3.7;-
PAS 02;2023-05-18;pH;4.2;-
PAS 14;2023-11-23;pH;4.2;-
PAS 07;2023-11-22;pH;4.3;-
PAS 06;2024-03-20;pH;5.17;-
PAS 06;2023-05-16;pH;5.2;-
PAS 07;2024-03-20;pH;5.28;-
PAS 02;2023-11-22;pH;5.3;-
PAS 13;2022-11-24;pH;5.3;-
PAS 16;2023-11-23;pH;5.3;-
PAS 03;2021-12-03;Salinidade;4;mg/L
PAS 13;2021-07-06;Salinidade;5;mg/L
PAS 14;2021-12-03;Salinidade;5;mg/L
PAS 15;2021-12-03;Salinidade;5;mg/L
PAS 01;2021-12-04;Salinidade;6;mg/L
PAS 02;2021-12-03;Salinidade;6;mg/L
PAS 13;2020-12-16;Salinidade;6;mg/L
PAS 13;2021-12-03;Salinidade;6;mg/L
PAS 01;2021-07-04;Salinidade;7;mg/L
PAS 04;2021-12-03;Salinidade;7;mg/L
PAS 14;2020-12-16;Salinidade;7;mg/L
PAS 15;2020-12-16;Salinidade;7;mg/L
PAS 01;2020-12-16;Salinidade;8;mg/L
PAS 04;2021-07-03;Salinidade;8;mg/L
PAS 06;2021-12-02;Salinidade;8;mg/L
PAS 15;2021-07-07;Salinidade;8;mg/L
PAS 03;2020-12-16;Salinidade;9;mg/L
PAS 33;2024-06-27;Sódio Total;229;mg/L
PAS 26;2024-07-26 15:20:00;Sódio Total;147;mg/L
PAS 16;2024-07-26 09:14:00;Sódio Total;146;mg/L
PAS 14;2024-07-26 09:53:00;Sódio Total;136;mg/L
PAS 33;2024-04-18;Sódio Total;121;mg/L
PAS 14;2024-04-18;Sódio Total;90.9;mg/L
PAS 03;2024-07-29 11:32:00;Sódio Total;81.3;mg/L
PAS 15;2024-07-24 15:30:00;Sódio Total;80.2;mg/L
PAS 26;2024-06-27;Sódio Total;64.400000000000006;mg/L
PAS 33;2024-07-26 10:15:00;Sódio Total;60.3;mg/L
PAS 14;2024-05-22;Sódio Total;57.4;mg/L
PAS 14;2024-06-26;Sódio Total;55.9;mg/L
PAS 33;2024-02-22;Sódio Total;49.3;mg/L
PAS 01;2020-12-16;Sólidos dissolvidos totais;8.6;mg/L
PAS 01;2021-07-04;Sólidos dissolvidos totais;6.56;mg/L
PAS 01;2021-12-04;Sólidos dissolvidos totais;7.8;mg/L
PAS 01;2022-05-26;Sólidos dissolvidos totais;8;mg/L
PAS 01;2022-11-23;Sólidos dissolvidos totais;21;mg/L
PAS 01;2023-05-18;Sólidos dissolvidos totais;4;mg/L
PAS 01;2023-11-22;Sólidos dissolvidos totais;14;mg/L
PAS 01;2023-12-14;Sólidos dissolvidos totais;26;mg/L
PAS 01;2024-05-23;Sólidos dissolvidos totais;10;mg/L
PAS 01;2024-06-25;Sólidos Dissolvidos Totais;10;mg/L
PAS 01;2024-01-25;Sólidos Dissolvidos Totais;10;mg/L
PAS 01;2024-02-19;Sólidos Dissolvidos Totais;18;mg/L
PAS 01;2024-02-19;Sólidos Dissolvidos Totais;<3;mg/L
PAS 01;2024-03-20;Sólidos Dissolvidos Totais;10;mg/L
PAS 01;2024-04-17;Sólidos Dissolvidos Totais;<10;mg/L
PAS 01;2024-04-17;Sólidos Dissolvidos Totais;14;mg/L
PAS 01;2024-07-24 13:33:00;Sólidos Dissolvidos Totais;11;mg/L
PAS 03;2021-12-03;Sólidos suspensos totais;8133.33;mg/L
PAS 15;2022-11-24;Sólidos suspensos totais;3214;mg/L
PAS 14;2022-11-24;Sólidos suspensos totais;2974;mg/L
PAS 13;2024-02-22;Sólidos Suspensos Totais;2178;mg/L
PAS 34;2024-04-17;Sólidos Suspensos Totais;1972;mg/L
PAS 34;2024-02-22;Sólidos Suspensos Totais;1860;mg/L
PAS 15;2024-06-26;Sólidos Suspensos Totais;1796;mg/L
PAS 26;2024-02-20;Sólidos Suspensos Totais;1586;mg/L
PAS 13;2024-03-21;Sólidos Suspensos Totais;1574;mg/L
PAS 15;2021-12-03;Sólidos suspensos totais;1082;mg/L
PAS 03;2023-11-27;Amônia;<0.005;mg/L
PAS 14;2021-12-03;Sólidos suspensos totais;900;mg/L
PAS 15;2021-07-07;Sólidos suspensos totais;834;mg/L
PAS 01;2020-12-16;Sólidos totais;43;mg/L
PAS 01;2021-07-04;Sólidos totais;35;mg/L
PAS 01;2021-12-04;Sólidos totais;26;mg/L
PAS 01;2022-05-26;Sólidos totais;26;mg/L
PAS 01;2022-11-23;Sólidos totais;163;mg/L
PAS 01;2023-05-18;Sólidos totais;11;mg/L
PAS 01;2023-11-22;Sólidos totais;20;mg/L
PAS 01;2024-05-23;Sólidos Totais;30;mg/L
PAS 01;2024-06-25;Sólidos Totais;32;mg/L
PAS 01;2024-02-19;Sólidos Totais;18;mg/L
PAS 01;2024-03-20;Sólidos Totais;54;mg/L
PAS 01;2024-04-17;Sólidos Totais;24;mg/L
PAS 01;2024-07-24 13:31:00;Sólidos Totais;32;mg/L
PAS 01;2020-12-16;Sulfato;<1;mg/L
PAS 01;2021-07-04;Sulfato;<1;mg/L
PAS 01;2021-12-04;Sulfato;<1;mg/L
PAS 01;2022-05-26;Sulfato total;<10.;mg/L
PAS 01;2022-11-23;Sulfato total;<10.;mg/L
PAS 01;2023-05-18;Sulfato total;<10.;mg/L
PAS 01;2023-11-22;Sulfato total;<10.;mg/L
PAS 01;2024-05-23;Sulfato;3.83;mg/L
PAS 01;2024-06-25;Sulfato;<1.;mg/L
PAS 01;2024-02-19;Sulfato;<1.;mg/L
PAS 01;2024-03-20;Sulfato Total;<1.;mg/L
PAS 01;2024-04-17;Sulfato;1.1200000000000001;mg/L
PAS 01;2024-07-24 13:31:00;Sulfato;<1.;mg/L
PAS 04;2022-11-24;Sulfeto (H2S não dissociado);0.14299999999999999;mg/L
PAS 01;2020-12-16;Sulfeto (H2S não dissociado);<0.001;mg/L
PAS 01;2021-07-04;Sulfeto (H2S não dissociado);<0.001;mg/L
PAS 01;2021-12-04;Sulfeto (H2S não dissociado);<0.001;mg/L
PAS 01;2022-05-26;Sulfeto (H2S não dissociado);<0.001;mg/L
PAS 01;2022-11-23;Sulfeto (H2S não dissociado);<0.001;mg/L
PAS 01;2023-05-18;Sulfeto (H2S não dissociado);<0.001;mg/L
PAS 01;2020-12-16;Temperatura da amostra;23.3;°C
PAS 01;2021-07-04;Temperatura da amostra;20.9;°C
PAS 01;2021-12-04;Temperatura da amostra;24.4;°C
PAS 01;2022-05-26;Temperatura da amostra;24.9;°C
PAS 01;2022-11-23;Temperatura da amostra;23.4;°C
PAS 01;2023-05-18;Temperatura da amostra;26.4;°C
PAS 01;2023-11-22;Temperatura da amostra;26.1;°C
PAS 01;2023-12-14;Temperatura;30.7;°C
PAS 01;2024-05-23;Temperatura;24.7;°C
PAS 01;2024-06-25;Temperatura;22;°C
PAS 01;2024-01-25;Temperatura;22.9;°C
